"orf","sample","coverage","D01","D02","D03","D04","D05","D06","T00","T01","T02","T03","T04"
"R07D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_8_length_2863_cov_184.399217_206_2_1|TLMV","R07","184.399217",0.00268291787959588,NA,NA,NA,NA,NA,NA,NA,9.13297204370396e-05,NA,NA
"R07D03-TTVRCA_S7_2019.02.05_iseq_run_VL46-0348_R07D02-R07T00|NODE_1_length_3545_cov_116.908309_359_2_1|TTV_Clade5","R07","116.908309",NA,NA,0.256092031454444,NA,NA,NA,NA,0.00351833327584423,4.02925237222233e-05,NA,3.18350182016717e-06
"R07D03-TTVRCA_S7_2019.02.05_iseq_run_VL46-0348_R07D02-R07T00|NODE_2_length_3261_cov_163.158453_491_5_1|TTMV","R07","163.158453",NA,NA,0.335803396769053,NA,NA,NA,NA,NA,0.00213460836786179,NA,NA
"R07D03-TTVRCA_S7_2019.02.05_iseq_run_VL46-0348_R07D02-R07T00|NODE_4_length_3001_cov_27.235234_300_6_1|TTV_Clade7","R07","27.235234",NA,1,0.0555893821818606,NA,1.54138067632701e-06,NA,NA,0.0693699859666067,0.00973333064716509,NA,7.95875455041791e-06
"R10D02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3714_cov_25.207707_842_5_1|TTV_Clade7","R10","25.207707",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"R11D01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_2887_cov_4.956215_502_1_1|TLMV","R11","4.956215",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000407704665598823
"R11D03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3719_cov_239.174127_878_5_1|TTV_Clade5","R11","239.174127",NA,NA,0.99973791115188,NA,NA,NA,NA,NA,0.569717563314639,0.269473057573791,0.237264111177633
"R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3040_cov_6.736683_586_1_1|TLMV","R15","6.736683",NA,0.002322198,NA,NA,NA,NA,NA,0.000279466,NA,NA,NA
"R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_4_length_2941_cov_163.365211_606_6_1|TLMV","R15","163.365211",NA,0.055774719,NA,NA,NA,NA,NA,0.008614245,NA,NA,NA
"R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_5_length_2937_cov_18.009715_579_6_1|TLMV","R15","18.009715",NA,0.005931397,NA,NA,NA,NA,NA,8.77e-05,NA,NA,NA
"R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_6_length_2929_cov_8.782533_666_6_1|TLMV","R15","8.782533",NA,0.003119579,NA,NA,NA,NA,NA,3.47e-05,NA,NA,NA
"R15D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_8_length_2560_cov_1461.617166_212_5_1|TTMV","R15","1461.617166",NA,0.478722511,2.25e-06,NA,NA,NA,NA,0.000170329,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_6595_cov_336.563914_355_1_1|TTV_Clade1","R15","336.563914",NA,NA,0.002548915,NA,NA,NA,NA,0.000268742,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_10_length_2978_cov_10136.392063_335_5_1|TTV_Clade5","R15","10136.392063",NA,NA,0.20666432,NA,NA,NA,NA,0.124428056,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_12_length_2941_cov_10.648302_357_6_1|TLMV","R15","10.648302",NA,0.001049186,0.000192442,NA,NA,NA,NA,0.000487646,NA,NA,NA
"R15D03_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_17_length_2831_cov_4.933718_350_5_1|TLMV","R15","4.933718",NA,NA,8.99e-05,NA,NA,NA,NA,0.000688256,NA,NA,NA
